"","Team","X.","Pos.","FIFA.Popular.Name","Birth.Date","Shirt.Name","Club","Height","Weight","League","Age"
"1","Argentina",1,"GK","GUZMAN Nahuel",1986-02-10,"GUZMÁN","Tigres UANL",192,90,"MEX",32.3397260273973
"2","Argentina",2,"DF","MERCADO Gabriel",1987-03-18,"MERCADO","Sevilla FC",181,81,"ESP",31.241095890411
"3","Argentina",3,"DF","TAGLIAFICO Nicolas",1992-08-31,"TAGLIAFICO","AFC Ajax",169,65,"NED",25.786301369863
"4","Argentina",4,"DF","ANSALDI Cristian",1986-09-20,"ANSALDI","Torino FC",181,73,"ITA",31.7315068493151
"5","Argentina",5,"MF","BIGLIA Lucas",1986-01-30,"BIGLIA","AC Milan",175,73,"ITA",32.3698630136986
"6","Argentina",6,"DF","FAZIO Federico",1987-03-17,"FAZIO","AS Roma",199,85,"ITA",31.2438356164384
"7","Argentina",7,"MF","BANEGA Ever",1988-06-29,"BANEGA","Sevilla FC",175,73,"ESP",29.958904109589
"8","Argentina",8,"DF","ACUNA Marcos",1991-10-28,"ACUÑA","Sporting CP",172,77,"POR",26.627397260274
"9","Argentina",9,"FW","HIGUAIN Gonzalo",1987-12-10,"HIGUAÍN","Juventus FC",184,75,"ITA",30.5095890410959
"10","Argentina",10,"FW","MESSI Lionel",1987-06-24,"MESSI","FC Barcelona",170,72,"ESP",30.972602739726
"11","Argentina",11,"MF","DI MARIA Angel",1988-02-14,"DI MARÍA","Paris Saint-Germain FC",178,75,"FRA",30.3287671232877
"12","Argentina",12,"GK","ARMANI Franco",1986-10-16,"ARMANI","CA River Plate",189,85,"ARG",31.6602739726027
"13","Argentina",13,"MF","MEZA Maximiliano",1992-12-15,"MEZA","CA Independiente",180,76,"ARG",25.4958904109589
"14","Argentina",14,"DF","MASCHERANO Javier",1984-06-08,"MASCHERANO","Hebei China Fortune FC",174,73,"CHN",34.0164383561644
"15","Argentina",15,"MF","LANZINI Manuel",1993-02-15,"LANZINI","West Ham United FC",167,66,"ENG",25.3260273972603
"16","Argentina",16,"DF","ROJO Marcos",1990-03-20,"ROJO","Manchester United FC",189,82,"ENG",28.2356164383562
"17","Argentina",17,"DF","OTAMENDI Nicolas",1988-02-12,"OTAMENDI","Manchester City FC",181,81,"ENG",30.3342465753425
"18","Argentina",18,"DF","SALVIO Eduardo",1990-07-13,"SALVIO","SL Benfica",167,69,"POR",27.9205479452055
"19","Argentina",19,"FW","AGUERO Sergio",1988-06-02,"AGÜERO","Manchester City FC",172,74,"ENG",30.0328767123288
"20","Argentina",20,"MF","LO CELSO Giovani",1996-04-09,"LO CELSO","Paris Saint-Germain FC",177,75,"FRA",22.1808219178082
"21","Argentina",21,"FW","DYBALA Paulo",1993-11-15,"DYBALA","Juventus FC",177,73,"ITA",24.5780821917808
"22","Argentina",22,"MF","PAVON Cristian",1996-01-21,"PAVÓN","CA Boca Juniors",169,65,"ARG",22.3945205479452
"23","Argentina",23,"GK","CABALLERO Wilfredo",1981-09-28,"CABALLERO","Chelsea FC",186,80,"ENG",36.7095890410959
"24","Australia",1,"GK","RYAN Mathew",1992-04-08,"RYAN","Brighton & Hove Albion FC",184,82,"ENG",26.1835616438356
"25","Australia",2,"DF","DEGENEK Milos",1994-04-28,"DEGENEK","Yokohama F-Marinos",187,85,"JPN",24.1287671232877
"26","Australia",3,"DF","MEREDITH James",1988-04-05,"MEREDITH","Millwall FC",179,71,"ENG",30.1917808219178
"27","Australia",4,"FW","CAHILL Tim",1979-12-06,"CAHILL","Millwall FC",180,76,"ENG",38.5205479452055
"28","Australia",5,"DF","MILLIGAN Mark",1985-08-04,"MILLIGAN","Al Ahli SC",178,78,"KSA",32.8602739726027
"29","Australia",6,"DF","JURMAN Matthew",1989-12-08,"JURMAN","Suwon Samsung Bluewings FC",190,83,"KOR",28.5150684931507
"30","Australia",7,"FW","LECKIE Mathew",1991-02-04,"LECKIE","Hertha BSC",181,84,"GER",27.3561643835616
"31","Australia",8,"MF","LUONGO Massimo",1992-09-25,"LUONGO","Queens Park Rangers FC",176,76,"ENG",25.7178082191781
"32","Australia",9,"FW","JURIC Tomi",1991-07-22,"JURIC","FC Luzern",190,80,"SUI",26.8958904109589
"33","Australia",10,"FW","KRUSE Robbie",1988-10-05,"KRUSE","VfL Bochum",180,66,"GER",29.6904109589041
"34","Australia",11,"FW","NABBOUT Andrew",1992-12-17,"NABBOUT","Urawa Reds",178,85,"JPN",25.4904109589041
"35","Australia",12,"GK","JONES Brad",1982-03-19,"JONES","Feyenoord Rotterdam",193,87,"NED",36.2383561643836
