"","date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1","2015-03-12","Cambodia","Macau",3,0,"FIFA World Cup qualification","Phnom Penh","Cambodia",FALSE
"2","2015-03-12","East Timor","Mongolia",0,3,"FIFA World Cup qualification","Dili","East Timor",FALSE
"3","2015-03-12","India","Nepal",2,0,"FIFA World Cup qualification","Guwahati","India",FALSE
"4","2015-03-12","Sri Lanka","Bhutan",0,1,"FIFA World Cup qualification","Colombo","Sri Lanka",FALSE
"5","2015-03-12","Yemen","Pakistan",3,1,"FIFA World Cup qualification","Doha","Qatar",TRUE
"6","2015-03-17","Bhutan","Sri Lanka",2,1,"FIFA World Cup qualification","Thimphu","Bhutan",FALSE
"7","2015-03-17","Brunei","Taiwan",0,2,"FIFA World Cup qualification","Bandar Seri Begawan","Brunei",FALSE
"8","2015-03-17","Macau","Cambodia",1,1,"FIFA World Cup qualification","Taipa","Macau",FALSE
"9","2015-03-17","Mongolia","East Timor",3,0,"FIFA World Cup qualification","Ulan Bator","Mongolia",FALSE
"10","2015-03-17","Nepal","India",0,0,"FIFA World Cup qualification","Kathmandu","Nepal",FALSE
"11","2015-03-22","Barbados","Virgin Islands",0,1,"FIFA World Cup qualification","Bridgetown","Barbados",FALSE
"12","2015-03-23","Pakistan","Yemen",0,0,"FIFA World Cup qualification","Isa Town","Bahrain",TRUE
"13","2015-03-26","Virgin Islands","Barbados",0,4,"FIFA World Cup qualification","Charlotte Amalie","Virgin Islands",FALSE
"14","2015-03-27","Curaçao","Montserrat",2,1,"FIFA World Cup qualification","Willemstad","Curaçao",FALSE
"15","2015-03-29","Anguilla","Nicaragua",0,3,"FIFA World Cup qualification","The Valley","Anguilla",FALSE
"16","2015-03-29","Bermuda","Bahamas",3,0,"FIFA World Cup qualification","Hamilton","Bermuda",FALSE
"17","2015-03-29","Dominica","British Virgin Islands",0,0,"FIFA World Cup qualification","Roseau","Dominica",FALSE
"18","2015-03-31","Montserrat","Curaçao",2,2,"FIFA World Cup qualification","Lookout","Montserrat",FALSE
"19","2015-05-24","Thailand","Vietnam",1,0,"FIFA World Cup qualification","Bangkok","Thailand",FALSE
"20","2015-06-10","Curaçao","Cuba",0,0,"FIFA World Cup qualification","Willemstad","Curaçao",FALSE
"21","2015-06-11","Afghanistan","Syria",0,6,"FIFA World Cup qualification","Mashhad","Iran",TRUE
